Name,VOG_count,Protien_count,PHROG_count,time_point,Location,KEGG_count,COG_count,FOAM_count,comparison,n_v_s_tp
NS_T0,539,15481,384,T0,NS,5889,2051,1532,North,North_T0
NS_T14,1229,37191,852,T14,NS,8918,1920,1471,North,North_T14
ME_T0,424,11187,258,T0,ME,3873,1053,758,North,North_T0
ME_T14,965,42351,541,T14,ME,11125,2049,1659,North,North_T14
NH_T0,842,18775,654,T0,NH,4953,1400,904,North,North_T0
NH_T14,1207,47036,756,T14,NH,11092,2132,1788,North,North_T14
FIELD_T0,764,41048,445,T0,FIELD,14741,2302,2150,Control,Control
FIELD_T14,656,44408,340,T14,FIELD,16548,1997,2013,Control,Control
MA_T0,399,10168,297,T0,MA,3466,992,693,South,South_T0
MA_T14,1719,63271,1108,T14,MA,10052,2217,1812,South,South_T14
SC_T0,491,14711,343,T0,SC,5298,1510,1111,South,South_T0
SC_T14,1843,88681,1187,T14,SC,14471,2790,2489,South,South_T14
FL_T0,523,11600,357,T0,FL,3739,1013,650,South,South_T0
FL_T14,1274,40646,876,T14,FL,7853,1821,1305,South,South_T14